Product Id,Product Handle,Product Title,Product Status,Product Description,Product Subtitle,Product External Id,Product Thumbnail,Product Collection Id,Product Type Id,Product Created At,Product Deleted At,Product Discountable,Product Height,Product Hs Code,Product Image 1,Product Image 2,Product Image 3,Product Image 4,Product Is Giftcard,Product Length,Product Material,Product Mid Code,Product Origin Country,Product Sales Channel 1,Product Updated At,Product Weight,Product Width,Variant Id,Variant Title,Variant Sku,Variant Upc,Variant Ean,Variant Hs Code,Variant Mid Code,Variant Manage Inventory,Variant Allow Backorder,Variant Barcode,Variant Created At,Variant Deleted At,Variant Height,Variant Length,Variant Material,Variant Metadata,Variant Option 1 Name,Variant Option 1 Value,Variant Option 2 Name,Variant Option 2 Value,Variant Origin Country,Variant Price EUR,Variant Price USD,Variant Product Id,Variant Updated At,Variant Variant Rank,Variant Weight,Variant Width
prod_01JKB6MR51MPTDDHE7Z4ZQYDB6,sweatshirt,Medusa Sweatshirt,published,"Reimagine the feeling of a classic sweatshirt. With our cotton sweatshirt, everyday essentials no longer have to be ordinary.",,,https://medusa-public-images.s3.eu-west-1.amazonaws.com/sweatshirt-vintage-front.png,,,2025-02-05T14:01:23.353Z,,true,,,https://medusa-public-images.s3.eu-west-1.amazonaws.com/sweatshirt-vintage-front.png,https://medusa-public-images.s3.eu-west-1.amazonaws.com/sweatshirt-vintage-back.png,,,false,,,,,sc_01JKB6MKKAT3YDG9JMFXS0GFR9,2025-02-05T14:01:23.353Z,400,,variant_01JKB6MR6TPC5WR88M4XD0FYYG,S,SWEATSHIRT-S,,,,,true,false,,2025-02-05T14:01:23.420Z,,,,,,Size,S,,,,10,15,prod_01JKB6MR51MPTDDHE7Z4ZQYDB6,2025-02-05T14:01:23.420Z,0,,
prod_01JKB6MR51MPTDDHE7Z4ZQYDB6,sweatshirt,Medusa Sweatshirt,published,"Reimagine the feeling of a classic sweatshirt. With our cotton sweatshirt, everyday essentials no longer have to be ordinary.",,,https://medusa-public-images.s3.eu-west-1.amazonaws.com/sweatshirt-vintage-front.png,,,2025-02-05T14:01:23.353Z,,true,,,https://medusa-public-images.s3.eu-west-1.amazonaws.com/sweatshirt-vintage-front.png,https://medusa-public-images.s3.eu-west-1.amazonaws.com/sweatshirt-vintage-back.png,,,false,,,,,sc_01JKB6MKKAT3YDG9JMFXS0GFR9,2025-02-05T14:01:23.353Z,400,,variant_01JKB6MR6T1APW8NHG44D6WKBA,M,SWEATSHIRT-M,,,,,true,false,,2025-02-05T14:01:23.420Z,,,,,,Size,M,,,,10,15,prod_01JKB6MR51MPTDDHE7Z4ZQYDB6,2025-02-05T14:01:23.420Z,0,,
prod_01JKB6MR51MPTDDHE7Z4ZQYDB6,sweatshirt,Medusa Sweatshirt,published,"Reimagine the feeling of a classic sweatshirt. With our cotton sweatshirt, everyday essentials no longer have to be ordinary.",,,https://medusa-public-images.s3.eu-west-1.amazonaws.com/sweatshirt-vintage-front.png,,,2025-02-05T14:01:23.353Z,,true,,,https://medusa-public-images.s3.eu-west-1.amazonaws.com/sweatshirt-vintage-front.png,https://medusa-public-images.s3.eu-west-1.amazonaws.com/sweatshirt-vintage-back.png,,,false,,,,,sc_01JKB6MKKAT3YDG9JMFXS0GFR9,2025-02-05T14:01:23.353Z,400,,variant_01JKB6MR6TTKQ8PJ69ZBX5K2T2,L,SWEATSHIRT-L,,,,,true,false,,2025-02-05T14:01:23.420Z,,,,,,Size,L,,,,10,15,prod_01JKB6MR51MPTDDHE7Z4ZQYDB6,2025-02-05T14:01:23.420Z,0,,
prod_01JKB6MR51MPTDDHE7Z4ZQYDB6,sweatshirt,Medusa Sweatshirt,published,"Reimagine the feeling of a classic sweatshirt. With our cotton sweatshirt, everyday essentials no longer have to be ordinary.",,,https://medusa-public-images.s3.eu-west-1.amazonaws.com/sweatshirt-vintage-front.png,,,2025-02-05T14:01:23.353Z,,true,,,https://medusa-public-images.s3.eu-west-1.amazonaws.com/sweatshirt-vintage-front.png,https://medusa-public-images.s3.eu-west-1.amazonaws.com/sweatshirt-vintage-back.png,,,false,,,,,sc_01JKB6MKKAT3YDG9JMFXS0GFR9,2025-02-05T14:01:23.353Z,400,,variant_01JKB6MR6TT5KDMVZQ75VT3185,XL,SWEATSHIRT-XL,,,,,true,false,,2025-02-05T14:01:23.420Z,,,,,,Size,XL,,,,10,15,prod_01JKB6MR51MPTDDHE7Z4ZQYDB6,2025-02-05T14:01:23.420Z,0,,
prod_01JKB6MR51NAPGMNMCSJSZ72V7,t-shirt,Medusa T-Shirt,published,"Reimagine the feeling of a classic T-shirt. With our cotton T-shirts, everyday essentials no longer have to be ordinary.",,,https://medusa-public-images.s3.eu-west-1.amazonaws.com/tee-black-front.png,,,2025-02-05T14:01:23.353Z,,true,,,https://medusa-public-images.s3.eu-west-1.amazonaws.com/tee-black-front.png,https://medusa-public-images.s3.eu-west-1.amazonaws.com/tee-black-back.png,https://medusa-public-images.s3.eu-west-1.amazonaws.com/tee-white-front.png,https://medusa-public-images.s3.eu-west-1.amazonaws.com/tee-white-back.png,false,,,,,sc_01JKB6MKKAT3YDG9JMFXS0GFR9,2025-02-05T14:01:23.353Z,400,,variant_01JKB6MR6RRERRD71SMA9PAEX6,S / Black,SHIRT-S-BLACK,,,,,true,false,,2025-02-05T14:01:23.419Z,,,,,,Size,S,Color,Black,,10,15,prod_01JKB6MR51NAPGMNMCSJSZ72V7,2025-02-05T14:01:23.419Z,0,,
prod_01JKB6MR51NAPGMNMCSJSZ72V7,t-shirt,Medusa T-Shirt,published,"Reimagine the feeling of a classic T-shirt. With our cotton T-shirts, everyday essentials no longer have to be ordinary.",,,https://medusa-public-images.s3.eu-west-1.amazonaws.com/tee-black-front.png,,,2025-02-05T14:01:23.353Z,,true,,,https://medusa-public-images.s3.eu-west-1.amazonaws.com/tee-black-front.png,https://medusa-public-images.s3.eu-west-1.amazonaws.com/tee-black-back.png,https://medusa-public-images.s3.eu-west-1.amazonaws.com/tee-white-front.png,https://medusa-public-images.s3.eu-west-1.amazonaws.com/tee-white-back.png,false,,,,,sc_01JKB6MKKAT3YDG9JMFXS0GFR9,2025-02-05T14:01:23.353Z,400,,variant_01JKB6MR6S7G5WMV5RZGY85XHZ,S / White,SHIRT-S-WHITE,,,,,true,false,,2025-02-05T14:01:23.419Z,,,,,,Size,S,Color,White,,10,15,prod_01JKB6MR51NAPGMNMCSJSZ72V7,2025-02-05T14:01:23.419Z,0,,
prod_01JKB6MR51NAPGMNMCSJSZ72V7,t-shirt,Medusa T-Shirt,published,"Reimagine the feeling of a classic T-shirt. With our cotton T-shirts, everyday essentials no longer have to be ordinary.",,,https://medusa-public-images.s3.eu-west-1.amazonaws.com/tee-black-front.png,,,2025-02-05T14:01:23.353Z,,true,,,https://medusa-public-images.s3.eu-west-1.amazonaws.com/tee-black-front.png,https://medusa-public-images.s3.eu-west-1.amazonaws.com/tee-black-back.png,https://medusa-public-images.s3.eu-west-1.amazonaws.com/tee-white-front.png,https://medusa-public-images.s3.eu-west-1.amazonaws.com/tee-white-back.png,false,,,,,sc_01JKB6MKKAT3YDG9JMFXS0GFR9,2025-02-05T14:01:23.353Z,400,,variant_01JKB6MR6SNF8NVTE7P9JGCNB3,M / Black,SHIRT-M-BLACK,,,,,true,false,,2025-02-05T14:01:23.419Z,,,,,,Size,M,Color,Black,,10,15,prod_01JKB6MR51NAPGMNMCSJSZ72V7,2025-02-05T14:01:23.419Z,0,,
prod_01JKB6MR51NAPGMNMCSJSZ72V7,t-shirt,Medusa T-Shirt,published,"Reimagine the feeling of a classic T-shirt. With our cotton T-shirts, everyday essentials no longer have to be ordinary.",,,https://medusa-public-images.s3.eu-west-1.amazonaws.com/tee-black-front.png,,,2025-02-05T14:01:23.353Z,,true,,,https://medusa-public-images.s3.eu-west-1.amazonaws.com/tee-black-front.png,https://medusa-public-images.s3.eu-west-1.amazonaws.com/tee-black-back.png,https://medusa-public-images.s3.eu-west-1.amazonaws.com/tee-white-front.png,https://medusa-public-images.s3.eu-west-1.amazonaws.com/tee-white-back.png,false,,,,,sc_01JKB6MKKAT3YDG9JMFXS0GFR9,2025-02-05T14:01:23.353Z,400,,variant_01JKB6MR6S5XWNK6NCZAS2E48F,M / White,SHIRT-M-WHITE,,,,,true,false,,2025-02-05T14:01:23.419Z,,,,,,Size,M,Color,White,,10,15,prod_01JKB6MR51NAPGMNMCSJSZ72V7,2025-02-05T14:01:23.419Z,0,,
prod_01JKB6MR51NAPGMNMCSJSZ72V7,t-shirt,Medusa T-Shirt,published,"Reimagine the feeling of a classic T-shirt. With our cotton T-shirts, everyday essentials no longer have to be ordinary.",,,https://medusa-public-images.s3.eu-west-1.amazonaws.com/tee-black-front.png,,,2025-02-05T14:01:23.353Z,,true,,,https://medusa-public-images.s3.eu-west-1.amazonaws.com/tee-black-front.png,https://medusa-public-images.s3.eu-west-1.amazonaws.com/tee-black-back.png,https://medusa-public-images.s3.eu-west-1.amazonaws.com/tee-white-front.png,https://medusa-public-images.s3.eu-west-1.amazonaws.com/tee-white-back.png,false,,,,,sc_01JKB6MKKAT3YDG9JMFXS0GFR9,2025-02-05T14:01:23.353Z,400,,variant_01JKB6MR6SBVY6YN87ZY68YKJV,L / Black,SHIRT-L-BLACK,,,,,true,false,,2025-02-05T14:01:23.419Z,,,,,,Size,L,Color,Black,,10,15,prod_01JKB6MR51NAPGMNMCSJSZ72V7,2025-02-05T14:01:23.419Z,0,,
prod_01JKB6MR51NAPGMNMCSJSZ72V7,t-shirt,Medusa T-Shirt,published,"Reimagine the feeling of a classic T-shirt. With our cotton T-shirts, everyday essentials no longer have to be ordinary.",,,https://medusa-public-images.s3.eu-west-1.amazonaws.com/tee-black-front.png,,,2025-02-05T14:01:23.353Z,,true,,,https://medusa-public-images.s3.eu-west-1.amazonaws.com/tee-black-front.png,https://medusa-public-images.s3.eu-west-1.amazonaws.com/tee-black-back.png,https://medusa-public-images.s3.eu-west-1.amazonaws.com/tee-white-front.png,https://medusa-public-images.s3.eu-west-1.amazonaws.com/tee-white-back.png,false,,,,,sc_01JKB6MKKAT3YDG9JMFXS0GFR9,2025-02-05T14:01:23.353Z,400,,variant_01JKB6MR6SGG2V9GAVXMXCT1CD,L / White,SHIRT-L-WHITE,,,,,true,false,,2025-02-05T14:01:23.419Z,,,,,,Size,L,Color,White,,10,15,prod_01JKB6MR51NAPGMNMCSJSZ72V7,2025-02-05T14:01:23.419Z,0,,
prod_01JKB6MR51NAPGMNMCSJSZ72V7,t-shirt,Medusa T-Shirt,published,"Reimagine the feeling of a classic T-shirt. With our cotton T-shirts, everyday essentials no longer have to be ordinary.",,,https://medusa-public-images.s3.eu-west-1.amazonaws.com/tee-black-front.png,,,2025-02-05T14:01:23.353Z,,true,,,https://medusa-public-images.s3.eu-west-1.amazonaws.com/tee-black-front.png,https://medusa-public-images.s3.eu-west-1.amazonaws.com/tee-black-back.png,https://medusa-public-images.s3.eu-west-1.amazonaws.com/tee-white-front.png,https://medusa-public-images.s3.eu-west-1.amazonaws.com/tee-white-back.png,false,,,,,sc_01JKB6MKKAT3YDG9JMFXS0GFR9,2025-02-05T14:01:23.353Z,400,,variant_01JKB6MR6SMZHWBEB746N61MZQ,XL / Black,SHIRT-XL-BLACK,,,,,true,false,,2025-02-05T14:01:23.419Z,,,,,,Size,XL,Color,Black,,10,15,prod_01JKB6MR51NAPGMNMCSJSZ72V7,2025-02-05T14:01:23.419Z,0,,
prod_01JKB6MR51NAPGMNMCSJSZ72V7,t-shirt,Medusa T-Shirt,published,"Reimagine the feeling of a classic T-shirt. With our cotton T-shirts, everyday essentials no longer have to be ordinary.",,,https://medusa-public-images.s3.eu-west-1.amazonaws.com/tee-black-front.png,,,2025-02-05T14:01:23.353Z,,true,,,https://medusa-public-images.s3.eu-west-1.amazonaws.com/tee-black-front.png,https://medusa-public-images.s3.eu-west-1.amazonaws.com/tee-black-back.png,https://medusa-public-images.s3.eu-west-1.amazonaws.com/tee-white-front.png,https://medusa-public-images.s3.eu-west-1.amazonaws.com/tee-white-back.png,false,,,,,sc_01JKB6MKKAT3YDG9JMFXS0GFR9,2025-02-05T14:01:23.353Z,400,,variant_01JKB6MR6S9P73QAJWD4G44NGA,XL / White,SHIRT-XL-WHITE,,,,,true,false,,2025-02-05T14:01:23.419Z,,,,,,Size,XL,Color,White,,10,15,prod_01JKB6MR51NAPGMNMCSJSZ72V7,2025-02-05T14:01:23.419Z,0,,
prod_01JKB6MR528W4JMHQZJRZK7KCA,shorts,Medusa Shorts,published,"Reimagine the feeling of classic shorts. With our cotton shorts, everyday essentials no longer have to be ordinary.",,,https://medusa-public-images.s3.eu-west-1.amazonaws.com/shorts-vintage-front.png,,,2025-02-05T14:01:23.353Z,,true,,,https://medusa-public-images.s3.eu-west-1.amazonaws.com/shorts-vintage-front.png,https://medusa-public-images.s3.eu-west-1.amazonaws.com/shorts-vintage-back.png,,,false,,,,,sc_01JKB6MKKAT3YDG9JMFXS0GFR9,2025-02-05T14:01:23.353Z,400,,variant_01JKB6MR6V5H6A9DZH1QE6E9DD,S,SHORTS-S,,,,,true,false,,2025-02-05T14:01:23.420Z,,,,,,Size,S,,,,10,15,prod_01JKB6MR528W4JMHQZJRZK7KCA,2025-02-05T14:01:23.420Z,0,,
prod_01JKB6MR528W4JMHQZJRZK7KCA,shorts,Medusa Shorts,published,"Reimagine the feeling of classic shorts. With our cotton shorts, everyday essentials no longer have to be ordinary.",,,https://medusa-public-images.s3.eu-west-1.amazonaws.com/shorts-vintage-front.png,,,2025-02-05T14:01:23.353Z,,true,,,https://medusa-public-images.s3.eu-west-1.amazonaws.com/shorts-vintage-front.png,https://medusa-public-images.s3.eu-west-1.amazonaws.com/shorts-vintage-back.png,,,false,,,,,sc_01JKB6MKKAT3YDG9JMFXS0GFR9,2025-02-05T14:01:23.353Z,400,,variant_01JKB6MR6VW8EA7C1CD6BY9831,M,SHORTS-M,,,,,true,false,,2025-02-05T14:01:23.420Z,,,,,,Size,M,,,,10,15,prod_01JKB6MR528W4JMHQZJRZK7KCA,2025-02-05T14:01:23.420Z,0,,
prod_01JKB6MR528W4JMHQZJRZK7KCA,shorts,Medusa Shorts,published,"Reimagine the feeling of classic shorts. With our cotton shorts, everyday essentials no longer have to be ordinary.",,,https://medusa-public-images.s3.eu-west-1.amazonaws.com/shorts-vintage-front.png,,,2025-02-05T14:01:23.353Z,,true,,,https://medusa-public-images.s3.eu-west-1.amazonaws.com/shorts-vintage-front.png,https://medusa-public-images.s3.eu-west-1.amazonaws.com/shorts-vintage-back.png,,,false,,,,,sc_01JKB6MKKAT3YDG9JMFXS0GFR9,2025-02-05T14:01:23.353Z,400,,variant_01JKB6MR6VKTQD90VB1XQTVXZM,L,SHORTS-L,,,,,true,false,,2025-02-05T14:01:23.420Z,,,,,,Size,L,,,,10,15,prod_01JKB6MR528W4JMHQZJRZK7KCA,2025-02-05T14:01:23.420Z,0,,
prod_01JKB6MR528W4JMHQZJRZK7KCA,shorts,Medusa Shorts,published,"Reimagine the feeling of classic shorts. With our cotton shorts, everyday essentials no longer have to be ordinary.",,,https://medusa-public-images.s3.eu-west-1.amazonaws.com/shorts-vintage-front.png,,,2025-02-05T14:01:23.353Z,,true,,,https://medusa-public-images.s3.eu-west-1.amazonaws.com/shorts-vintage-front.png,https://medusa-public-images.s3.eu-west-1.amazonaws.com/shorts-vintage-back.png,,,false,,,,,sc_01JKB6MKKAT3YDG9JMFXS0GFR9,2025-02-05T14:01:23.353Z,400,,variant_01JKB6MR6V2HXCV52PYYGGXDWY,XL,SHORTS-XL,,,,,true,false,,2025-02-05T14:01:23.420Z,,,,,,Size,XL,,,,10,15,prod_01JKB6MR528W4JMHQZJRZK7KCA,2025-02-05T14:01:23.420Z,0,,